TICKER,ASOF_DATE,YR,CASH,RECEIVABLES,INVENTORY,PREPAID,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PPE,LONG_TERM_INVESTMENTS,GOODWILL_INTANGIBLE_ASSETS,OTHER_LONG_TERM_ASSETS,TOTAL_LONG_TERM_ASSETS,TOTAL_ASSETS,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,OTHER_NONCURRENT_LIABILITIES,TOTAL_LONG_TERM_LIABILITIES,TOTAL_LIABILITIES,NET_COMMON_STOCK,RETAINED_EARNINGS,COMPREHENSIVE_INCOME,OTHER_SHAREHOLDERS_EQUITY,SHAREHOLDER_EQUITY,TOTAL_LIABILITIES_AND_SHAREHOLDERS_EQUITY,SOURCE_FILE,LOAD_BATCH_ID,LOADED_AT
KO,3/7/2026,1995,1315,1695,1117,0,1323,5450,4336,3960,944,351,9591,15041,7348,1141,966,2301,9649,428,12882,0,-410,5392,15041,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1994,1531,1470,1047,0,1157,5205,4080,3673,660,255,8668,13873,6177,1426,855,2461,8638,427,11006,0,-298,5235,13873,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1993,1078,1210,1049,0,1097,4434,3729,3083,549,226,7587,12021,5171,1428,725,2266,7437,426,9458,0,-505,4584,12021,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1992,1062.988,1085.636,1018.621,0,1080.432,4247.677,3526.261,2163.094,383.304,731.598,6804.257,11051.93,5303.222,1120.064,658.631,1860.324,7163.546,424.051,8165.024,0,-370.842,3888.388,11051.93,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1991,1117.196,933.448,987.764,0,1069.664,4144.244,2889.882,2154.015,303.681,730.606,6078.184,10189.21,4255.173,985.258,493.765,1679.05,5950.268,421.838,7238.643,0,-119.818,4238.947,10222.43,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1990,1492.124,913.541,982.313,0,754.8,4142.778,2385.565,2024.622,275.126,450.096,5135.409,9278.187,4296.491,535.861,332.06,1132.532,5429.023,420.244,6447.576,0,-63.729,3849.164,9278.187,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1989,1181.691,820.428,789.077,0,812.304,3603.5,2021.219,1930.423,231.993,495.401,4679.036,8282.536,3657.93,548.708,294.358,1139.121,4797.051,418.91,5618.312,0,-53.098,3485.485,8282.536,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1988,1231.19,627.248,778.816,0,608.178,3245.432,1759.075,1911.973,56.546,477.586,4205.18,7450.612,2868.897,761.059,205.702,1236.413,4105.31,417.395,4385.142,0,-68.477,3345.302,7450.612,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1987,1489.106,672.16,776.74,0,1219.037,4231.921,1601.528,2258.545,74.155,289,4223.228,8605.546,4083.379,909.465,0,1119.345,5418.372,415.977,3783.625,0,-5.047,3187.174,8355.56,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
KO,3/7/2026,1986,868.6331,672.568,695.437,0,837.512,3169.268,1537.553,1096.442,659.053,1114.803,4407.851,7484.128,2244.919,907.676,354.054,2000.136,3969.149,414.492,3624.046,0,-118.087,3514.979,8373.438,KO_BAL-SH_YR.xlsx,KO_BAL-SH_YR-002,3/7/2026 20:26
