Year,Revenue,EBIT,Income_Taxes,Pretax_Income,Diluted_Shares,EBIT_Margin,Tax_Rate,D&A,CapEx,NWC,Tax_Expense,EBIT_Calc,NOPAT,D&A_Change,CapEx_Change,NWC_Change,FCF,Period,Discount_Factor,DCF
2024,47061000000.0,9992000000.0,2437000000.0,13086000000.0,4320000000.0,0.21232018019166612,0.1862295583065872,1411830000.0,2353050000.0,470610000.0,8764149243.4663,9992000000.0,1227850756.533701,39210000.0,65350000.0,13070000.0,273560756.53370094,-1,,
2025,47941000000.0,13762000000.0,2861000000.0,15998000000.0,4313000000.0,0.28706117936630443,0.1788348543567946,1438230000.0,2397050000.0,479410000.0,8573521752.71909,13762000000.0,5188478247.28091,26400000.0,44000000.0,8800000.0,4220858247.2809095,0,,
2026,50561552174.315216,14812457877.517206,,,4313000000.0,0.29295892314480393,0.1788348543567946,1516846565.2294564,2528077608.7157607,505615521.74315214,9042167819.147133,14812457877.517206,5770290058.370073,78616565.22945642,131027608.71576071,26205521.74315214,4732853493.140615,1,0.9090909090909091,4302594084.673286
2027,53325349038.943695,15943097542.015804,,,4313000000.0,0.29897783754537643,0.1788348543567946,1599760471.1683109,2666267451.947185,533253490.38943696,9536431028.904734,15943097542.015804,6406666513.111071,82913905.93885446,138189843.23142433,27637968.64628482,5312521563.685912,2,0.8264462809917354,4390513688.996621
2028,56240220638.82942,17160039295.033947,,,4313000000.0,0.3051204120487802,0.1788348543567946,1687206619.1648827,2812011031.941471,562402206.3882942,10057711666.939054,17160039295.033947,7102327628.0948925,87446147.99657178,145743579.99428606,29148715.99885726,5948374499.319447,3,0.7513148009015775,4469101802.644211
2029,59314425025.03438,18469870602.690765,,,4313000000.0,0.3113891872827787,0.1788348543567946,1779432750.7510312,2965721251.251719,593144250.2503438,10607486560.609035,18469870602.690765,7862384042.08173,92226131.5861485,153710219.3102479,30742043.86204958,6645353497.718994,4,0.6830134553650705,4538865854.599407
2030,62556671650.41997,19879681754.50881,,,4313000000.0,0.31778675607296875,0.1788348543567946,1876700149.512599,3127833582.5209985,625566716.5041997,11187313263.648678,19879681754.50881,8692368490.86013,97267398.76156783,162112331.26927948,32422466.253855944,7408812591.597877,5,0.6209213230591549,4600289716.67228
2031,65976146044.18378,21397104244.08582,,,4313000000.0,0.324315764515198,0.1788348543567946,1979284381.3255131,3298807302.209189,659761460.4418378,11798834468.834217,21397104244.08582,9598269775.251602,102584231.81291413,170973719.68819046,34194743.937638044,8244552110.430289,6,0.5644739300537772,4653834731.307749
2032,69582535835.15651,23030352079.375507,,,4313000000.0,0.33097891307001553,0.1788348543567946,2087476075.0546951,3479126791.757826,695825358.3515651,12443782661.856657,23030352079.375507,10586569417.51885,108191693.729182,180319489.5486369,36063897.909727335,9158854802.905993,7,0.5131581182307065,4699940695.807507
2033,73386058197.58502,24788266246.19535,,,4313000000.0,0.3377789576796084,0.1788348543567946,2201581745.927551,3669302909.8792515,733860581.9758502,13123985029.58437,24788266246.19535,11664281216.610981,114105670.87285566,190176118.12142563,38035223.6242851,10158524829.034996,8,0.4665073802097331,4739026804.788643
2034,77397488797.1575,26680362565.64817,,,4313000000.0,0.3447187109076856,0.1788348543567946,2321924663.914725,3869874439.8578753,773974887.971575,13841368636.621304,26680362565.64817,12838993929.026867,120342917.98717403,200571529.97862387,40114305.9957248,11250929847.08799,9,0.42409761837248455,4771492552.625918
2035,81628192319.27695,28716883204.516083,,,4313000000.0,0.35180104310278143,0.1788348543567946,2448845769.578308,4081409615.9638476,816281923.1927695,14597965884.826313,28716883204.516083,14118917319.68977,126921105.66358328,211535176.1059723,42307035.221194506,12444046438.083035,10,0.3855432894295314,4797718597.552377
